date,portfolio,spy
2026-08-27,99950.02,100000.00
2026-08-28,99933.63,99773.05
2026-08-31,99674.15,99474.78
2026-09-01,99597.29,98791.34
2026-09-02,99865.30,99229.67
2026-09-03,100878.98,100268.45
2026-09-04,100659.74,99881.99
